,ingredient name,kor ingredient name,data available level,score with min,score,score class,cancer,developmental & reproductive toxicity,allergies & immunotoxicity
0,WATER,정제수,Robust,1,1,Green,LOW,LOW,LOW
1,FRAGRANCE,,Fair,8,8,Red,LOW,LOW,HIGH
2,GLYCERIN,글리세린,Good,1-2,2,Green,LOW,LOW,LOW
3,IRON OXIDES,,Fair,2,2,Green,LOW,LOW,LOW
4,TITANIUM DIOXIDE,티타늄디옥사이드,Good,1-3,3,Yellow,MODERATE,LOW,LOW
5,PHENOXYETHANOL,페녹시에탄올,Limited,2-4,4,Yellow,LOW,LOW,LOW
6,MICA,마이카,Fair,2,2,Green,LOW,LOW,LOW
7,TOCOPHEROL,토코페롤,Fair,1,1,Green,LOW,LOW,LOW
8,TOCOPHERYL ACETATE,토코페릴아세테이트,Fair,2-3,3,Yellow,LOW,LOW,MODERATE
9,DIMETHICONE,다이메티콘,Limited,1-3,3,Yellow,LOW,LOW,LOW
10,"SILICA, AMORPHOUS",,Good,1-2,2,Green,LOW,LOW,LOW
11,CITRIC ACID,시트릭애씨드,Good,1-2,2,Green,LOW,LOW,LOW
12,BUTYROSPERMUM PARKII (SHEA) BUTTER,시어버터,Limited,1,1,Green,LOW,LOW,LOW
13,CAPRYLYL GLYCOL,카프릴릴글라이콜,Limited,1,1,Green,LOW,LOW,LOW
14,PANTHENOL,판테놀,Limited,1,1,Green,LOW,LOW,LOW
15,CAPRYLIC/ CAPRIC TRIGLYCERIDE,카프릴릭/카프릭트라이글리세라이드,Limited,1,1,Green,LOW,LOW,LOW
16,METHYLPARABEN,메틸파라벤,Fair,3-4,4,Yellow,LOW,LOW,LOW_MODERATE
17,FD&C YELLOW 5 (CI 19140) ALUMINUM LAKE,,None,4-6,6,Yellow,LOW,LOW,LOW_MODERATE
18,DISODIUM EDTA,다이소듐이디티에이,Fair,1,1,Green,LOW,LOW,LOW
19,BEESWAX,비즈왁스,Limited,1,1,Green,LOW,LOW,LOW
20,XANTHAN GUM,잔탄검,Fair,1,1,Green,LOW,LOW,LOW
21,CETEARYL ALCOHOL,세테아릴알코올,Limited,1,1,Green,LOW,LOW,LOW
22,PROPYLENE GLYCOL,프로필렌글라이콜,Fair,3,3,Yellow,LOW,LOW,LOW_MODERATE
23,SODIUM CHLORIDE,소듐클로라이드,Robust,1,1,Green,LOW,LOW,LOW
24,LINALOOL,리날룰,Fair,3,3,Yellow,LOW,LOW,HIGH
25,PROPYLPARABEN,프로필파라벤,Fair,9,9,Red,LOW,MODERATE,MODERATE
26,SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL,호호바씨오일,Limited,1,1,Green,LOW,LOW,LOW
27,LIMONENE,리모넨,Good,4-5,5,Yellow,LOW,LOW,HIGH
28,BUTYLENE GLYCOL,부틸렌글라이콜,Limited,1,1,Green,LOW,LOW,LOW
29,HELIANTHUS ANNUUS (SUNFLOWER) OIL,,Fair,1,1,Green,LOW,LOW,LOW
30,ALOE BARBADENSIS (ALOE VERA) LEAF JUICE,,Limited,1-3,3,Yellow,MODERATE,LOW,LOW
31,CYCLOPENTASILOXANE,사이클로펜타실록세인,Fair,3,3,Yellow,LOW,LOW,LOW
32,ETHYLHEXYLGLYCERIN,에틸헥실글리세린,Limited,2,2,Green,LOW,LOW,LOW_MODERATE
33,COCOS NUCIFERA (COCONUT) OIL,코코넛야자오일,Fair,1,1,Green,LOW,LOW,LOW
34,CARMINE,카민,Fair,1,1,Green,LOW,LOW,LOW
35,CI 42090 (FD&C Blue No. 1 or D&C Blue No. 4) Aluminum Lake,,None,2-7,7,Red,LOW,LOW,LOW
36,ULTRAMARINES,울트라마린,Limited,1-3,3,Yellow,LOW,LOW,LOW
37,CETYL ALCOHOL,세틸알코올,Limited,1,1,Green,LOW,LOW,LOW
38,POTASSIUM SORBATE,포타슘솔베이트,Limited,2,2,Green,LOW,LOW,MODERATE
39,GLYCERYL MONOSTEARATE,,Limited,1,1,Green,LOW,LOW,LOW
40,SODIUM BENZOATE,소듐벤조에이트,Fair,1-3,3,Yellow,LOW,LOW,LOW
41,TALC,탤크,Good,5-8,8,Red,HIGH,LOW,LOW
42,CI 15850 (D&C Red No. 6 or 7) Aluminum Lake,,Limited,1-6,6,Yellow,LOW,LOW,LOW
43,STEARIC ACID,스테아릭애씨드,Fair,1,1,Green,LOW,LOW,LOW
44,BENZYL ALCOHOL,벤질알코올,Fair,4-6,6,Yellow,LOW,LOW,HIGH
45,COPERNICIA CERIFERA (CARNAUBA) WAX,카나우바왁스,Limited,1,1,Green,LOW,LOW,LOW
46,POLYETHYLENE,폴리에틸렌,Limited,1,1,Green,LOW,LOW,LOW
47,TIN OXIDE,틴옥사이드,Fair,2,2,Green,LOW,LOW,LOW
48,MANGANESE VIOLET,망가니즈바이올렛,Limited,1,1,Green,LOW,LOW,LOW
49,BHT,비에이치티,Fair,3,3,Yellow,LOW_MODERATE,LOW,LOW_MODERATE
50,CASTOR OIL,,Fair,2,2,Green,LOW,LOW_MODERATE,LOW
51,COCAMIDOPROPYL BETAINE,코카미도프로필베타인,Good,1-5,5,Yellow,LOW,LOW,LOW_MODERATE
52,EUPHORBIA CERIFERA (CANDELILLA) WAX,칸데릴라왁스,Limited,1,1,Green,LOW,LOW,LOW
53,OLEA EUROPAEA (OLIVE) OIL,,Fair,1,1,Green,LOW,LOW,LOW
54,BISMUTH OXYCHLORIDE,비스머스옥시클로라이드,Limited,1,1,Green,LOW,LOW,LOW
